county,state,population
Stanley,South Dakota,"3,098"
Sully,South Dakota,"1,391"
Todd,South Dakota,"10,177"
Tripp,South Dakota,"5,441"
Turner,South Dakota,"8,384"
Union,South Dakota,"15,932"
Walworth,South Dakota,"5,435"
Yankton,South Dakota,"22,814"
Ziebach,South Dakota,"2,756"
Anderson,Tennessee,"76,978"
Bedford,Tennessee,"49,713"
Benton,Tennessee,"16,160"
Bledsoe,Tennessee,"15,064"
Blount,Tennessee,"133,088"
Bradley,Tennessee,"108,110"
Campbell,Tennessee,"39,842"
Cannon,Tennessee,"14,678"
Carroll,Tennessee,"27,767"
Carter,Tennessee,"56,391"
Cheatham,Tennessee,"40,667"
Chester,Tennessee,"17,297"
Claiborne,Tennessee,"31,959"
Clay,Tennessee,"7,615"
Cocke,Tennessee,"36,004"
Coffee,Tennessee,"56,520"
Crockett,Tennessee,"14,230"
Cumberland,Tennessee,"60,520"
Davidson,Tennessee,"694,144"
Decatur,Tennessee,"11,663"
DeKalb,Tennessee,"20,490"
Dickson,Tennessee,"53,948"
Dyer,Tennessee,"37,159"
Fayette,Tennessee,"41,133"
Fentress,Tennessee,"18,523"
Franklin,Tennessee,"42,208"
Gibson,Tennessee,"49,133"
Giles,Tennessee,"29,464"
Grainger,Tennessee,"23,320"
Greene,Tennessee,"69,069"
Grundy,Tennessee,"13,427"
Hamblen,Tennessee,"64,934"
Hamilton,Tennessee,"367,804"
Hancock,Tennessee,"6,620"
Hardeman,Tennessee,"25,050"
Hardin,Tennessee,"25,652"
Hawkins,Tennessee,"56,786"
Haywood,Tennessee,"17,304"
Henderson,Tennessee,"28,117"
Henry,Tennessee,"32,345"
Hickman,Tennessee,"25,178"
Houston,Tennessee,"8,201"
Humphreys,Tennessee,"18,582"
Jackson,Tennessee,"11,786"
Jefferson,Tennessee,"54,495"
Johnson,Tennessee,"17,788"
Knox,Tennessee,"470,313"
Lake,Tennessee,"7,016"
Lauderdale,Tennessee,"25,633"
Lawrence,Tennessee,"44,142"
Lewis,Tennessee,"12,268"
Lincoln,Tennessee,"34,366"
Loudon,Tennessee,"54,068"
McMinn,Tennessee,"53,794"
McNairy,Tennessee,"25,694"
Macon,Tennessee,"24,602"
Madison,Tennessee,"97,984"
Marion,Tennessee,"28,907"
Marshall,Tennessee,"34,375"
Maury,Tennessee,"96,387"
Meigs,Tennessee,"12,422"
Monroe,Tennessee,"46,545"
Montgomery,Tennessee,"208,993"
Moore,Tennessee,"6,488"
Morgan,Tennessee,"21,403"
Obion,Tennessee,"30,069"
Overton,Tennessee,"22,241"
Perry,Tennessee,"8,076"
Pickett,Tennessee,"5,048"
Polk,Tennessee,"16,832"
Putnam,Tennessee,"80,245"
Rhea,Tennessee,"33,167"
Roane,Tennessee,"53,382"
Robertson,Tennessee,"71,813"
Rutherford,Tennessee,"332,285"
Scott,Tennessee,"22,068"
Sequatchie,Tennessee,"15,026"
Sevier,Tennessee,"98,250"
Shelby,Tennessee,"937,166"
Smith,Tennessee,"20,157"
Stewart,Tennessee,"13,715"
Sullivan,Tennessee,"158,348"
Sumner,Tennessee,"191,283"
Tipton,Tennessee,"61,599"
Trousdale,Tennessee,"11,284"
Unicoi,Tennessee,"17,883"
Union,Tennessee,"19,972"
Van Buren,Tennessee,"5,872"
Warren,Tennessee,"41,277"
Washington,Tennessee,"129,375"
Wayne,Tennessee,"16,673"
Weakley,Tennessee,"33,328"
White,Tennessee,"27,345"
Williamson,Tennessee,"238,412"
Wilson,Tennessee,"144,657"
Anderson,Texas,"57,735"
Andrews,Texas,"18,705"
Angelina,Texas,"86,715"
Aransas,Texas,"23,510"
Archer,Texas,"8,553"
Armstrong,Texas,"1,887"
Atascosa,Texas,"51,153"
Austin,Texas,"30,032"
Bailey,Texas,"7,000"
Bandera,Texas,"23,112"
Bastrop,Texas,"88,723"
Baylor,Texas,"3,509"
Bee,Texas,"32,565"
Bell,Texas,"362,924"
Bexar,Texas,"2,003,554"
Blanco,Texas,"11,931"
Borden,Texas,654
Bosque,Texas,"18,685"
Bowie,Texas,"93,245"
Brazoria,Texas,"374,264"
Brazos,Texas,"229,211"
Brewster,Texas,"9,203"
Briscoe,Texas,"1,546"
Brooks,Texas,"7,093"
Brown,Texas,"37,864"
Burleson,Texas,"18,443"
Burnet,Texas,"48,155"
Caldwell,Texas,"43,664"
Calhoun,Texas,"21,290"
Callahan,Texas,"13,943"
Cameron,Texas,"423,163"
Camp,Texas,"13,094"
Carson,Texas,"5,926"
Cass,Texas,"30,026"
Castro,Texas,"7,530"
Chambers,Texas,"43,837"
Cherokee,Texas,"52,646"
Childress,Texas,"7,306"
Clay,Texas,"10,471"
Cochran,Texas,"2,853"
Coke,Texas,"3,387"
Coleman,Texas,"8,175"
Collin,Texas,"1,034,730"
Collingsworth,Texas,"2,920"
Colorado,Texas,"21,493"
Comal,Texas,"156,209"
Comanche,Texas,"13,635"
Concho,Texas,"2,726"
Cooke,Texas,"41,257"
Coryell,Texas,"75,951"
Cottle,Texas,"1,398"
Crane,Texas,"4,797"
Crockett,Texas,"3,464"
Crosby,Texas,"5,737"
Culberson,Texas,"2,171"
Dallam,Texas,"7,287"
Dallas,Texas,"2,635,516"
Dawson,Texas,"12,728"
Deaf Smith,Texas,"18,546"
Delta,Texas,"5,331"
Denton,Texas,"887,207"
DeWitt,Texas,"20,160"
Dickens,Texas,"2,211"
Dimmit,Texas,"10,124"
Donley,Texas,"3,278"
Duval,Texas,"11,157"
Eastland,Texas,"18,360"
Ector,Texas,"166,223"
Edwards,Texas,"1,932"
Ellis,Texas,"184,826"
El Paso,Texas,"839,238"
Erath,Texas,"42,698"
Falls,Texas,"17,297"
Fannin,Texas,"35,514"
Fayette,Texas,"25,346"
Fisher,Texas,"3,830"
Floyd,Texas,"5,712"
Foard,Texas,"1,155"
Fort Bend,Texas,"811,688"
Franklin,Texas,"10,725"
Freestone,Texas,"19,717"
Frio,Texas,"20,306"
Gaines,Texas,"21,492"
Galveston,Texas,"342,139"
Garza,Texas,"6,229"
Gillespie,Texas,"26,988"
Glasscock,Texas,"1,409"
Goliad,Texas,"7,658"
Gonzales,Texas,"20,837"
Gray,Texas,"21,886"
Grayson,Texas,"136,212"
Gregg,Texas,"123,945"
Grimes,Texas,"28,880"
Guadalupe,Texas,"166,847"
Hale,Texas,"33,406"
Hall,Texas,"2,964"
Hamilton,Texas,"8,461"
Hansford,Texas,"5,399"
Hardeman,Texas,"3,933"
Hardin,Texas,"57,602"
Harris,Texas,"4,713,325"
Harrison,Texas,"66,553"
Hartley,Texas,"5,576"
Haskell,Texas,"5,658"
Hays,Texas,"230,191"
Hemphill,Texas,"3,819"
Henderson,Texas,"82,737"
Hidalgo,Texas,"868,707"
Hill,Texas,"36,649"
Hockley,Texas,"23,021"
Hood,Texas,"61,643"
Hopkins,Texas,"37,084"
Houston,Texas,"22,968"
Howard,Texas,"36,664"
Hudspeth,Texas,"4,886"
Hunt,Texas,"98,594"
Hutchinson,Texas,"20,938"
Irion,Texas,"1,536"
Jack,Texas,"8,935"
Jackson,Texas,"14,760"
Jasper,Texas,"35,529"
Jeff Davis,Texas,"2,274"
Jefferson,Texas,"251,565"
Jim Hogg,Texas,"5,200"
Jim Wells,Texas,"40,482"
Johnson,Texas,"175,817"
Jones,Texas,"20,083"
Karnes,Texas,"15,601"
Kaufman,Texas,"136,154"
Kendall,Texas,"47,431"
Kenedy,Texas,404
Kent,Texas,762
Kerr,Texas,"52,600"
Kimble,Texas,"4,337"
King,Texas,272
Kinney,Texas,"3,667"
Kleberg,Texas,"30,680"
Knox,Texas,"3,664"
Lamar,Texas,"49,859"
Lamb,Texas,"12,893"
Lampasas,Texas,"21,428"
La Salle,Texas,"7,520"
Lavaca,Texas,"20,154"
Lee,Texas,"17,239"
Leon,Texas,"17,404"
Liberty,Texas,"88,219"
Limestone,Texas,"23,437"
Lipscomb,Texas,"3,233"
Live Oak,Texas,"12,207"
Llano,Texas,"21,795"
Loving,Texas,169
Lubbock,Texas,"310,569"
Lynn,Texas,"5,951"
McCulloch,Texas,"7,984"
McLennan,Texas,"256,623"
McMullen,Texas,743
Madison,Texas,"14,284"
Marion,Texas,"9,854"
Martin,Texas,"5,771"
Mason,Texas,"4,274"
Matagorda,Texas,"36,643"
Maverick,Texas,"58,722"
Medina,Texas,"51,584"
Menard,Texas,"2,138"
Midland,Texas,"176,832"
Milam,Texas,"24,823"
Mills,Texas,"4,873"
Mitchell,Texas,"8,545"
Montague,Texas,"19,818"
Montgomery,Texas,"607,391"
Moore,Texas,"20,940"
Morris,Texas,"12,388"
Motley,Texas,"1,200"
Nacogdoches,Texas,"65,204"
Navarro,Texas,"50,113"
Newton,Texas,"13,595"
Nolan,Texas,"14,714"
Nueces,Texas,"362,294"
Ochiltree,Texas,"9,836"
Oldham,Texas,"2,112"
Orange,Texas,"83,396"
Palo Pinto,Texas,"29,189"
Panola,Texas,"23,194"
Parker,Texas,"142,878"
Parmer,Texas,"9,605"
Pecos,Texas,"15,823"
Polk,Texas,"51,353"
Potter,Texas,"117,415"
Presidio,Texas,"6,704"
Rains,Texas,"12,514"
Randall,Texas,"137,713"
Reagan,Texas,"3,849"
Real,Texas,"3,452"
Red River,Texas,"12,023"
Reeves,Texas,"15,976"
Refugio,Texas,"6,948"
Roberts,Texas,854
Robertson,Texas,"17,074"
Rockwall,Texas,"104,915"
Runnels,Texas,"10,264"
Rusk,Texas,"54,406"
Sabine,Texas,"10,542"
San Augustine,Texas,"8,237"
San Jacinto,Texas,"28,859"
San Patricio,Texas,"66,730"
San Saba,Texas,"6,055"
Schleicher,Texas,"2,793"
Scurry,Texas,"16,703"
Shackelford,Texas,"3,265"
Shelby,Texas,"25,274"
Sherman,Texas,"3,022"
Smith,Texas,"232,751"
Somervell,Texas,"9,128"
Starr,Texas,"64,633"
Stephens,Texas,"9,366"
Sterling,Texas,"1,291"
Stonewall,Texas,"1,350"
Sutton,Texas,"3,776"
Swisher,Texas,"7,397"
Tarrant,Texas,"2,102,515"
Taylor,Texas,"138,034"
Terrell,Texas,776
Terry,Texas,"12,337"
Throckmorton,Texas,"1,501"
Titus,Texas,"32,750"
Tom Green,Texas,"119,200"
Travis,Texas,"1,273,954"
Trinity,Texas,"14,651"
Tyler,Texas,"21,672"
Upshur,Texas,"41,753"
Upton,Texas,"3,657"
Uvalde,Texas,"26,741"
Val Verde,Texas,"49,025"
Van Zandt,Texas,"56,590"
Victoria,Texas,"92,084"
Walker,Texas,"72,971"
Waller,Texas,"55,246"
Ward,Texas,"11,998"
Washington,Texas,"35,882"
Webb,Texas,"276,652"
Wharton,Texas,"41,556"
Wheeler,Texas,"5,056"
Wichita,Texas,"132,230"
Wilbarger,Texas,"12,769"
Willacy,Texas,"21,358"
Williamson,Texas,"590,551"
Wilson,Texas,"51,070"
Winkler,Texas,"8,010"
Wise,Texas,"69,984"
Wood,Texas,"45,539"
Yoakum,Texas,"8,713"
Young,Texas,"18,010"
Zapata,Texas,"14,179"
Zavala,Texas,"11,840"
Beaver,Utah,"6,710"
Box Elder,Utah,"56,046"
Cache,Utah,"128,289"
Carbon,Utah,"20,463"
Daggett,Utah,950
Davis,Utah,"355,481"
Duchesne,Utah,"19,938"
Emery,Utah,"10,012"
Garfield,Utah,"5,051"
Grand,Utah,"9,754"
Iron,Utah,"54,839"
Juab,Utah,"12,017"
Kane,Utah,"7,886"
Millard,Utah,"13,188"
Morgan,Utah,"12,124"
Piute,Utah,"1,479"
Rich,Utah,"2,483"
Salt Lake,Utah,"1,160,437"
San Juan,Utah,"15,308"
Sanpete,Utah,"30,939"
Sevier,Utah,"21,620"
Summit,Utah,"42,145"
Tooele,Utah,"72,259"
Uintah,Utah,"35,734"
Utah,Utah,"636,235"
Wasatch,Utah,"34,091"
Washington,Utah,"177,556"
Wayne,Utah,"2,711"
Weber,Utah,"260,213"
Addison,Vermont,"36,777"
Bennington,Vermont,"35,470"
Caledonia,Vermont,"29,993"
Chittenden,Vermont,"163,774"
Essex,Vermont,"6,163"
Franklin,Vermont,"49,402"
Grand Isle,Vermont,"7,235"
Lamoille,Vermont,"25,362"
Orange,Vermont,"28,892"
Orleans,Vermont,"27,037"
Rutland,Vermont,"58,191"
Washington,Vermont,"58,409"
Windham,Vermont,"42,222"
Windsor,Vermont,"55,062"
Accomack,Virginia,"32,316"
Albemarle,Virginia,"109,330"
Alleghany,Virginia,"14,860"
Amelia,Virginia,"13,145"
Amherst,Virginia,"31,605"
Appomattox,Virginia,"15,911"
Arlington,Virginia,"236,842"
Augusta,Virginia,"75,558"
Bath,Virginia,"4,147"
Bedford,Virginia,"78,997"
Bland,Virginia,"6,280"
Botetourt,Virginia,"33,419"
Brunswick,Virginia,"16,231"
Buchanan,Virginia,"21,004"
Buckingham,Virginia,"17,148"
Campbell,Virginia,"54,885"
Caroline,Virginia,"30,725"
Carroll,Virginia,"29,791"
Charles City,Virginia,"6,963"
Charlotte,Virginia,"11,880"
Chesterfield,Virginia,"352,802"
Clarke,Virginia,"14,619"
Craig,Virginia,"5,131"
Culpeper,Virginia,"52,605"
Cumberland,Virginia,"9,932"
Dickenson,Virginia,"14,318"
Dinwiddie,Virginia,"28,544"
Essex,Virginia,"10,953"
Fairfax,Virginia,"1,147,532"
Fauquier,Virginia,"71,222"
Floyd,Virginia,"15,749"
Fluvanna,Virginia,"27,270"
Franklin,Virginia,"56,042"
Frederick,Virginia,"89,313"
Giles,Virginia,"16,720"
Gloucester,Virginia,"37,348"
Goochland,Virginia,"23,753"
Grayson,Virginia,"15,550"
Greene,Virginia,"19,819"
Greensville,Virginia,"11,336"
Halifax,Virginia,"33,911"
Hanover,Virginia,"107,766"
Henrico,Virginia,"330,818"
Henry,Virginia,"50,557"
Highland,Virginia,"2,190"
Isle of Wight,Virginia,"37,109"
James City,Virginia,"76,523"
King and Queen,Virginia,"7,025"
King George,Virginia,"26,836"
King William,Virginia,"17,148"
Lancaster,Virginia,"10,603"
Lee,Virginia,"23,423"
Loudoun,Virginia,"413,538"
Louisa,Virginia,"37,591"
Lunenburg,Virginia,"12,196"
Madison,Virginia,"13,261"
Mathews,Virginia,"8,834"
Mecklenburg,Virginia,"30,587"
Middlesex,Virginia,"10,582"
Montgomery,Virginia,"98,535"
Nelson,Virginia,"14,930"
New Kent,Virginia,"23,091"
Northampton,Virginia,"11,710"
Northumberland,Virginia,"12,095"
Nottoway,Virginia,"15,232"
Orange,Virginia,"37,051"
Page,Virginia,"23,902"
Patrick,Virginia,"17,608"
Pittsylvania,Virginia,"60,354"
Powhatan,Virginia,"29,652"
Prince Edward,Virginia,"22,802"
Prince George,Virginia,"38,353"
Prince William,Virginia,"470,335"
Pulaski,Virginia,"34,027"
Rappahannock,Virginia,"7,370"
Richmond,Virginia,"9,023"
Roanoke,Virginia,"94,186"
Rockbridge,Virginia,"22,573"
Rockingham,Virginia,"81,948"
Russell,Virginia,"26,586"
Scott,Virginia,"21,566"
Shenandoah,Virginia,"43,616"
Smyth,Virginia,"30,104"
Southampton,Virginia,"17,631"
Spotsylvania,Virginia,"136,215"
Stafford,Virginia,"152,882"
Surry,Virginia,"6,422"
Sussex,Virginia,"11,159"
Tazewell,Virginia,"40,595"
Warren,Virginia,"40,164"
Washington,Virginia,"53,740"
Westmoreland,Virginia,"18,015"
Wise,Virginia,"37,383"
Wythe,Virginia,"28,684"
York,Virginia,"68,280"
Alexandria city,Virginia,"159,428"
Bristol city,Virginia,"16,762"
Buena Vista city,Virginia,"6,478"
Charlottesville city,Virginia,"47,266"
Chesapeake city,Virginia,"244,835"
Colonial Heights city,Virginia,"17,370"
Covington city,Virginia,"5,538"
Danville city,Virginia,"40,044"
Emporia city,Virginia,"5,346"
Fairfax city,Virginia,"24,019"
Falls Church city,Virginia,"14,617"
Franklin city,Virginia,"7,967"
Fredericksburg city,Virginia,"29,036"
Galax city,Virginia,"6,347"
Hampton city,Virginia,"134,510"
Harrisonburg city,Virginia,"53,016"
Hopewell city,Virginia,"22,529"
Lexington city,Virginia,"7,446"
Lynchburg city,Virginia,"82,168"
Manassas city,Virginia,"41,085"
Manassas Park city,Virginia,"17,478"
Martinsville city,Virginia,"12,554"
Newport News city,Virginia,"179,225"
Norfolk city,Virginia,"242,742"
Norton city,Virginia,"3,981"
Petersburg city,Virginia,"31,346"
Poquoson city,Virginia,"12,271"
Portsmouth city,Virginia,"94,398"
Radford city,Virginia,"18,249"
Richmond city,Virginia,"230,436"
Roanoke city,Virginia,"99,143"
Salem city,Virginia,"25,301"
Staunton city,Virginia,"24,932"
Suffolk city,Virginia,"92,108"
Virginia Beach city,Virginia,"449,974"
Waynesboro city,Virginia,"22,630"
Williamsburg city,Virginia,"14,954"
Winchester city,Virginia,"28,078"
Adams,Washington,"19,983"
Asotin,Washington,"22,582"
Benton,Washington,"204,390"
Chelan,Washington,"77,200"
Clallam,Washington,"77,331"
Clark,Washington,"488,241"
Columbia,Washington,"3,985"
Cowlitz,Washington,"110,593"
Douglas,Washington,"43,429"
Ferry,Washington,"7,627"
Franklin,Washington,"95,222"
Garfield,Washington,"2,225"
Grant,Washington,"97,733"
Grays Harbor,Washington,"75,061"
Island,Washington,"85,141"
Jefferson,Washington,"32,221"
King,Washington,"2,252,782"
Kitsap,Washington,"271,473"
Kittitas,Washington,"47,935"
Klickitat,Washington,"22,425"
Lewis,Washington,"80,707"
Lincoln,Washington,"10,939"
Mason,Washington,"66,768"
Okanogan,Washington,"42,243"
Pacific,Washington,"22,471"
Pend Oreille,Washington,"13,724"
Pierce,Washington,"904,980"
San Juan,Washington,"17,582"
Skagit,Washington,"129,205"
Skamania,Washington,"12,083"
Snohomish,Washington,"822,083"
Spokane,Washington,"522,798"
Stevens,Washington,"45,723"
Thurston,Washington,"290,536"
Wahkiakum,Washington,"4,488"
Walla Walla,Washington,"60,760"
Whatcom,Washington,"229,247"
Whitman,Washington,"50,104"
Yakima,Washington,"250,873"
Barbour,West Virginia,"16,441"
Berkeley,West Virginia,"119,171"
Boone,West Virginia,"21,457"
Braxton,West Virginia,"13,957"
Brooke,West Virginia,"21,939"
Cabell,West Virginia,"91,945"
Calhoun,West Virginia,"7,109"
Clay,West Virginia,"8,508"
Doddridge,West Virginia,"8,448"
Fayette,West Virginia,"42,406"
Gilmer,West Virginia,"7,823"
Grant,West Virginia,"11,568"
Greenbrier,West Virginia,"34,662"
Hampshire,West Virginia,"23,175"
Hancock,West Virginia,"28,810"
Hardy,West Virginia,"13,776"
Harrison,West Virginia,"67,256"
Jackson,West Virginia,"28,576"
Jefferson,West Virginia,"57,146"
Kanawha,West Virginia,"178,124"
Lewis,West Virginia,"15,907"
Lincoln,West Virginia,"20,409"
Logan,West Virginia,"32,019"
McDowell,West Virginia,"17,624"
Marion,West Virginia,"56,072"
Marshall,West Virginia,"30,531"
Mason,West Virginia,"26,516"
Mercer,West Virginia,"58,758"
Mineral,West Virginia,"26,868"
Mingo,West Virginia,"23,424"
Monongalia,West Virginia,"105,612"
Monroe,West Virginia,"13,275"
Morgan,West Virginia,"17,884"
Nicholas,West Virginia,"24,496"
Ohio,West Virginia,"41,411"
Pendleton,West Virginia,"6,969"
Pleasants,West Virginia,"7,460"
Pocahontas,West Virginia,"8,247"
Preston,West Virginia,"33,432"
Putnam,West Virginia,"56,450"
Raleigh,West Virginia,"73,361"
Randolph,West Virginia,"28,695"
Ritchie,West Virginia,"9,554"
Roane,West Virginia,"13,688"
Summers,West Virginia,"12,573"
Taylor,West Virginia,"16,695"
Tucker,West Virginia,"6,839"
Tyler,West Virginia,"8,591"
Upshur,West Virginia,"24,176"
Wayne,West Virginia,"39,402"
Webster,West Virginia,"8,114"
Wetzel,West Virginia,"15,065"
Wirt,West Virginia,"5,821"
Wood,West Virginia,"83,518"
Wyoming,West Virginia,"20,394"
Adams,Wisconsin,"20,220"
Ashland,Wisconsin,"15,562"
Barron,Wisconsin,"45,244"
Bayfield,Wisconsin,"15,036"
Brown,Wisconsin,"264,542"
Buffalo,Wisconsin,"13,031"
Burnett,Wisconsin,"15,414"
Calumet,Wisconsin,"50,089"
Chippewa,Wisconsin,"64,658"
Clark,Wisconsin,"34,774"
Columbia,Wisconsin,"57,532"
Crawford,Wisconsin,"16,131"
Dane,Wisconsin,"546,695"
Dodge,Wisconsin,"87,839"
Door,Wisconsin,"27,668"
Douglas,Wisconsin,"43,150"
Dunn,Wisconsin,"45,368"
Eau Claire,Wisconsin,"104,646"
Florence,Wisconsin,"4,295"
Fond du Lac,Wisconsin,"103,403"
Forest,Wisconsin,"9,004"
Grant,Wisconsin,"51,439"
Green,Wisconsin,"36,960"
Green Lake,Wisconsin,"18,913"
Iowa,Wisconsin,"23,678"
Iron,Wisconsin,"5,687"
Jackson,Wisconsin,"20,643"
Jefferson,Wisconsin,"84,769"
Juneau,Wisconsin,"26,687"
Kenosha,Wisconsin,"169,561"
Kewaunee,Wisconsin,"20,434"
La Crosse,Wisconsin,"118,016"
Lafayette,Wisconsin,"16,665"
Langlade,Wisconsin,"19,189"
Lincoln,Wisconsin,"27,593"
Manitowoc,Wisconsin,"78,981"
Marathon,Wisconsin,"135,692"
Marinette,Wisconsin,"40,350"
Marquette,Wisconsin,"15,574"
Menominee,Wisconsin,"4,556"
Milwaukee,Wisconsin,"945,726"
Monroe,Wisconsin,"46,253"
Oconto,Wisconsin,"37,930"
Oneida,Wisconsin,"35,595"
Outagamie,Wisconsin,"187,885"
Ozaukee,Wisconsin,"89,221"
Pepin,Wisconsin,"7,287"
Pierce,Wisconsin,"42,754"
Polk,Wisconsin,"43,783"
Portage,Wisconsin,"70,772"
Price,Wisconsin,"13,351"
Racine,Wisconsin,"196,311"
Richland,Wisconsin,"17,252"
Rock,Wisconsin,"163,354"
Rusk,Wisconsin,"14,178"
St. Croix,Wisconsin,"90,687"
Sauk,Wisconsin,"64,442"
Sawyer,Wisconsin,"16,558"
Shawano,Wisconsin,"40,899"
Sheboygan,Wisconsin,"115,340"
Taylor,Wisconsin,"20,343"
Trempealeau,Wisconsin,"29,649"
Vernon,Wisconsin,"30,822"
Vilas,Wisconsin,"22,195"
Walworth,Wisconsin,"103,868"
Washburn,Wisconsin,"15,720"
Washington,Wisconsin,"136,034"
Waukesha,Wisconsin,"404,198"
Waupaca,Wisconsin,"50,990"
Waushara,Wisconsin,"24,443"
Winnebago,Wisconsin,"171,907"
Wood,Wisconsin,"72,999"
Albany,Wyoming,"38,880"
Big Horn,Wyoming,"11,790"
Campbell,Wyoming,"46,341"
Carbon,Wyoming,"14,800"
Converse,Wyoming,"13,822"
Crook,Wyoming,"7,584"
Fremont,Wyoming,"39,261"
Goshen,Wyoming,"13,211"
Hot Springs,Wyoming,"4,413"
Johnson,Wyoming,"8,445"
Laramie,Wyoming,"99,500"
Lincoln,Wyoming,"19,830"
Natrona,Wyoming,"79,858"
Niobrara,Wyoming,"2,356"
Park,Wyoming,"29,194"
Platte,Wyoming,"8,393"
Sheridan,Wyoming,"30,485"
Sublette,Wyoming,"9,831"
Sweetwater,Wyoming,"42,343"
Teton,Wyoming,"23,464"
Uinta,Wyoming,"20,226"
Washakie,Wyoming,"7,805"
Weston,Wyoming,"6,927"
